(127.0,319.0)
(157.0,317.0)
(147.0,316.0)
(89.0,220.0)
(87.0,209.0)
(133.0,323.0)
(189.0,207.0)
(100.0,228.0)
(180.0,197.0)
(190.0,212.0)
(182.0,325.0)
(179.0,338.0)
(193.0,329.0)
(162.0,412.0)
(133.0,409.0)
(110.0,225.0)
(159.0,330.0)
(200.0,183.0)
(59.0,223.0)
(190.0,219.0)
(87.0,382.0)
(69.0,362.0)
(57.0,339.0)
(49.0,313.0)
(44.0,287.0)
(41.0,261.0)
(40.0,234.0)
(90.0,228.0)
(256.0,214.0)
(259.0,267.0)
(258.0,240.0)
(108.0,324.0)
(259.0,294.0)
(233.0,369.0)
(162.0,194.0)
(185.0,271.0)
(149.0,277.0)
(256.0,321.0)
(152.0,293.0)
(72.0,215.0)
(139.0,341.0)
(209.0,214.0)
(200.0,217.0)
(185.0,315.0)
(216.0,200.0)
(81.0,227.0)
(203.0,316.0)
(180.0,320.0)
(180.0,219.0)
(121.0,200.0)
(104.0,205.0)
(189.0,215.0)
(117.0,278.0)
(133.0,329.0)
(110.0,217.0)
(199.0,197.0)
(99.0,217.0)
(100.0,224.0)
(108.0,398.0)
(192.0,404.0)
(170.0,218.0)
(160.0,342.0)
(66.0,204.0)
(100.0,221.0)
(179.0,183.0)
(215.0,388.0)
(232.0,204.0)
(179.0,211.0)
(82.0,194.0)
(219.0,188.0)
(130.0,222.0)
(125.0,261.0)
(168.0,314.0)
(160.0,219.0)
(173.0,256.0)
(123.0,334.0)
(247.0,346.0)
(170.0,284.0)
(133.0,288.0)
(120.0,223.0)
(102.0,191.0)
(199.0,209.0)
(158.0,323.0)
