(119.0,333.0)
(144.0,330.0)
(134.0,328.0)
(82.0,224.0)
(82.0,215.0)
(125.0,337.0)
(192.0,215.0)
(93.0,233.0)
(177.0,209.0)
(194.0,220.0)
(167.0,335.0)
(163.0,349.0)
(177.0,341.0)
(150.0,416.0)
(124.0,409.0)
(104.0,231.0)
(145.0,338.0)
(195.0,196.0)
(53.0,220.0)
(193.0,227.0)
(90.0,373.0)
(77.0,352.0)
(67.0,329.0)
(60.0,305.0)
(55.0,280.0)
(51.0,256.0)
(50.0,231.0)
(83.0,232.0)
(260.0,220.0)
(261.0,275.0)
(261.0,247.0)
(106.0,339.0)
(258.0,303.0)
(225.0,378.0)
(159.0,209.0)
(173.0,293.0)
(140.0,288.0)
(253.0,330.0)
(142.0,306.0)
(67.0,217.0)
(129.0,351.0)
(212.0,222.0)
(203.0,225.0)
(172.0,329.0)
(213.0,209.0)
(73.0,230.0)
(189.0,333.0)
(166.0,334.0)
(183.0,226.0)
(115.0,214.0)
(98.0,214.0)
(192.0,222.0)
(112.0,297.0)
(125.0,339.0)
(104.0,223.0)
(195.0,208.0)
(93.0,221.0)
(93.0,228.0)
(105.0,393.0)
(180.0,412.0)
(173.0,226.0)
(146.0,352.0)
(64.0,205.0)
(94.0,226.0)
(176.0,198.0)
(205.0,397.0)
(229.0,211.0)
(181.0,218.0)
(81.0,200.0)
(215.0,198.0)
(125.0,229.0)
(119.0,276.0)
(154.0,327.0)
(156.0,227.0)
(165.0,273.0)
(117.0,347.0)
(241.0,355.0)
(158.0,301.0)
(126.0,303.0)
(114.0,230.0)
(100.0,203.0)
(202.0,217.0)
(145.0,337.0)
