(158,300)
(80,160)
(82,143)
(219,157)
(93,183)
(204,145)
(220,166)
(182,324)
(199,311)
(159,383)
(110,181)
(158,312)
(39,139)
(80,336)
(60,314)
(44,289)
(34,260)
(23,171)
(79,179)
(290,168)
(283,226)
(288,198)
(96,296)
(278,255)
(238,334)
(181,148)
(194,256)
(158,256)
(159,277)
(60,141)
(132,326)
(244,169)
(68,171)
(214,294)
(204,178)
(218,170)
(122,257)
(127,307)
(113,163)
(225,139)
(96,172)
(101,357)
(191,374)
(190,175)
(158,331)
(60,130)
(96,169)
(201,135)
(216,355)
(246,125)
(139,177)
(130,235)
(174,176)
(185,234)
(113,313)
(178,268)
(139,269)
(158,309)
