(121.0,298.0)
(158.0,300.0)
(146.0,297.0)
(80.0,160.0)
(82.0,143.0)
(127.0,305.0)
(219.0,157.0)
(93.0,183.0)
(204.0,145.0)
(220.0,166.0)
(186.0,305.0)
(182.0,324.0)
(199.0,311.0)
(159.0,383.0)
(126.0,375.0)
(110.0,181.0)
(158.0,312.0)
(223.0,128.0)
(39.0,139.0)
(221.0,180.0)
(80.0,336.0)
(60.0,314.0)
(44.0,289.0)
(34.0,260.0)
(28.0,231.0)
(24.0,201.0)
(23.0,171.0)
(79.0,179.0)
(290.0,168.0)
(283.0,226.0)
(288.0,198.0)
(96.0,296.0)
(278.0,255.0)
(238.0,334.0)
(181.0,148.0)
(194.0,256.0)
(158.0,256.0)
(270.0,284.0)
(159.0,277.0)
(60.0,141.0)
(132.0,326.0)
(244.0,169.0)
(235.0,176.0)
(192.0,296.0)
(246.0,135.0)
(68.0,171.0)
(214.0,294.0)
(187.0,304.0)
(204.0,178.0)
(126.0,150.0)
(103.0,148.0)
(218.0,170.0)
(122.0,257.0)
(127.0,307.0)
(113.0,163.0)
(225.0,139.0)
(97.0,156.0)
(96.0,172.0)
(101.0,357.0)
(191.0,374.0)
(190.0,175.0)
(158.0,331.0)
(60.0,130.0)
(96.0,169.0)
(201.0,135.0)
(216.0,355.0)
(268.0,132.0)
(202.0,163.0)
(84.0,130.0)
(246.0,125.0)
(139.0,177.0)
(130.0,235.0)
(170.0,297.0)
(174.0,176.0)
(185.0,234.0)
(113.0,313.0)
(256.0,311.0)
(178.0,268.0)
(139.0,269.0)
(124.0,177.0)
(107.0,136.0)
(234.0,160.0)
(158.0,309.0)
