(157,336)
(55,151)
(55,134)
(207,134)
(65,168)
(199,126)
(207,144)
(199,380)
(222,388)
(167,423)
(75,166)
(159,351)
(35,148)
(79,368)
(60,331)
(38,285)
(20,258)
(13,163)
(59,160)
(279,158)
(263,258)
(277,211)
(80,368)
(248,286)
(247,345)
(183,133)
(207,248)
(145,253)
(152,303)
(43,146)
(131,380)
(237,143)
(50,153)
(233,360)
(199,153)
(205,143)
(95,268)
(115,375)
(71,146)
(222,126)
(65,153)
(97,397)
(207,408)
(197,163)
(162,368)
(55,136)
(65,156)
(199,128)
(225,400)
(228,116)
(83,170)
(102,238)
(192,160)
(191,228)
(111,395)
(183,280)
(125,285)
(160,348)
