(119,367)
(157,334)
(148,339)
(58,152)
(55,140)
(131,367)
(207,132)
(63,167)
(203,136)
(206,140)
(210,366)
(212,388)
(227,380)
(157,414)
(128,411)
(72,164)
(163,352)
(205,126)
(35,151)
(206,152)
(77,364)
(71,337)
(59,308)
(35,284)
(8,252)
(8,200)
(12,166)
(57,167)
(275,144)
(263,252)
(280,187)
(86,372)
(252,277)
(237,380)
(190,139)
(203,254)
(151,256)
(250,306)
(152,301)
(43,146)
(130,384)
(233,139)
(223,148)
(199,351)
(228,122)
(51,160)
(237,354)
(212,368)
(203,149)
(86,137)
(73,134)
(205,142)
(95,264)
(117,376)
(78,147)
(212,124)
(68,141)
(68,154)
(117,411)
(205,407)
(197,152)
(163,371)
(53,137)
(70,154)
(199,124)
(223,391)
(238,124)
(58,134)
(225,117)
(83,176)
(100,236)
(190,348)
(192,168)
(187,221)
(125,387)
(243,314)
(177,280)
(127,284)
(99,162)
(85,134)
(223,140)
(159,344)
